pat_file,pat_label,rater_a,rater_a_label,rater_b,rater_b_label,dice_score
2_2019_P_12_T2.nii.gz,P_12,Segmentation_1IR,IR,Segmentation_2ML,ML,0.623334
2_2019_P_12_T2.nii.gz,P_12,Segmentation_1IR,IR,Segmentation_3LW,LW,0.559967
2_2019_P_12_T2.nii.gz,P_12,Segmentation_1IR,IR,Segmentation_4SG,SG,0.442473
2_2019_P_12_T2.nii.gz,P_12,Segmentation_1IR,IR,Segmentation_5Stud,Stud,0.526478
2_2019_P_12_T2.nii.gz,P_12,Segmentation_1IR,IR,Segmentation_9MOISSAM2prop,MOISSAM2prop,0.300355
2_2019_P_12_T2.nii.gz,P_12,Segmentation_2ML,ML,Segmentation_3LW,LW,0.461434
2_2019_P_12_T2.nii.gz,P_12,Segmentation_2ML,ML,Segmentation_4SG,SG,0.558995
2_2019_P_12_T2.nii.gz,P_12,Segmentation_2ML,ML,Segmentation_5Stud,Stud,0.617528
2_2019_P_12_T2.nii.gz,P_12,Segmentation_2ML,ML,Segmentation_9MOISSAM2prop,MOISSAM2prop,0.340144
2_2019_P_12_T2.nii.gz,P_12,Segmentation_3LW,LW,Segmentation_4SG,SG,0.374972
2_2019_P_12_T2.nii.gz,P_12,Segmentation_3LW,LW,Segmentation_5Stud,Stud,0.423940
2_2019_P_12_T2.nii.gz,P_12,Segmentation_3LW,LW,Segmentation_9MOISSAM2prop,MOISSAM2prop,0.350884
2_2019_P_12_T2.nii.gz,P_12,Segmentation_4SG,SG,Segmentation_5Stud,Stud,0.583524
2_2019_P_12_T2.nii.gz,P_12,Segmentation_4SG,SG,Segmentation_9MOISSAM2prop,MOISSAM2prop,0.376405
2_2019_P_12_T2.nii.gz,P_12,Segmentation_5Stud,Stud,Segmentation_9MOISSAM2prop,MOISSAM2prop,0.324487
5_2018_P_294_T2.nii.gz,P_294,Segmentation_1IR,IR,Segmentation_2ML,ML,0.661797
5_2018_P_294_T2.nii.gz,P_294,Segmentation_1IR,IR,Segmentation_3LW,LW,0.610913
5_2018_P_294_T2.nii.gz,P_294,Segmentation_1IR,IR,Segmentation_4SG,SG,0.625051
5_2018_P_294_T2.nii.gz,P_294,Segmentation_1IR,IR,Segmentation_5Stud,Stud,0.338821
5_2018_P_294_T2.nii.gz,P_294,Segmentation_1IR,IR,Segmentation_7Automated,Automated,0.628712
5_2018_P_294_T2.nii.gz,P_294,Segmentation_2ML,ML,Segmentation_3LW,LW,0.563158
5_2018_P_294_T2.nii.gz,P_294,Segmentation_2ML,ML,Segmentation_4SG,SG,0.677043
5_2018_P_294_T2.nii.gz,P_294,Segmentation_2ML,ML,Segmentation_5Stud,Stud,0.416401
5_2018_P_294_T2.nii.gz,P_294,Segmentation_2ML,ML,Segmentation_7Automated,Automated,0.690146
5_2018_P_294_T2.nii.gz,P_294,Segmentation_3LW,LW,Segmentation_4SG,SG,0.535519
5_2018_P_294_T2.nii.gz,P_294,Segmentation_3LW,LW,Segmentation_5Stud,Stud,0.326170
5_2018_P_294_T2.nii.gz,P_294,Segmentation_3LW,LW,Segmentation_7Automated,Automated,0.592838
5_2018_P_294_T2.nii.gz,P_294,Segmentation_4SG,SG,Segmentation_5Stud,Stud,0.361774
5_2018_P_294_T2.nii.gz,P_294,Segmentation_4SG,SG,Segmentation_7Automated,Automated,0.620404
5_2018_P_294_T2.nii.gz,P_294,Segmentation_5Stud,Stud,Segmentation_7Automated,Automated,0.507206
5_2020_P_19_T2.nii.gz,P_19,Segmentation_1IR,IR,Segmentation_2ML,ML,0.760286
5_2020_P_19_T2.nii.gz,P_19,Segmentation_1IR,IR,Segmentation_3LW,LW,0.699448
5_2020_P_19_T2.nii.gz,P_19,Segmentation_1IR,IR,Segmentation_4SG,SG,0.064615
5_2020_P_19_T2.nii.gz,P_19,Segmentation_1IR,IR,Segmentation_5Stud,Stud,0.084863
5_2020_P_19_T2.nii.gz,P_19,Segmentation_1IR,IR,Segmentation_6Manual,Manual,0.244550
5_2020_P_19_T2.nii.gz,P_19,Segmentation_2ML,ML,Segmentation_3LW,LW,0.626844
5_2020_P_19_T2.nii.gz,P_19,Segmentation_2ML,ML,Segmentation_4SG,SG,0.167518
5_2020_P_19_T2.nii.gz,P_19,Segmentation_2ML,ML,Segmentation_5Stud,Stud,0.170901
5_2020_P_19_T2.nii.gz,P_19,Segmentation_2ML,ML,Segmentation_6Manual,Manual,0.275742
5_2020_P_19_T2.nii.gz,P_19,Segmentation_3LW,LW,Segmentation_4SG,SG,0.080784
5_2020_P_19_T2.nii.gz,P_19,Segmentation_3LW,LW,Segmentation_5Stud,Stud,0.117797
5_2020_P_19_T2.nii.gz,P_19,Segmentation_3LW,LW,Segmentation_6Manual,Manual,0.288500
5_2020_P_19_T2.nii.gz,P_19,Segmentation_4SG,SG,Segmentation_5Stud,Stud,0.486440
5_2020_P_19_T2.nii.gz,P_19,Segmentation_4SG,SG,Segmentation_6Manual,Manual,0.346224
5_2020_P_19_T2.nii.gz,P_19,Segmentation_5Stud,Stud,Segmentation_6Manual,Manual,0.280990
9_2021_P_566_T2.nii.gz,P_566,Segmentation_1IR,IR,Segmentation_2ML,ML,0.730924
9_2021_P_566_T2.nii.gz,P_566,Segmentation_1IR,IR,Segmentation_3LW,LW,0.730483
9_2021_P_566_T2.nii.gz,P_566,Segmentation_1IR,IR,Segmentation_4SG,SG,0.658958
9_2021_P_566_T2.nii.gz,P_566,Segmentation_1IR,IR,Segmentation_5Stud,Stud,0.765249
9_2021_P_566_T2.nii.gz,P_566,Segmentation_1IR,IR,Segmentation_8MOISSAM2noprop,MOISSAM2noprop,0.618179
9_2021_P_566_T2.nii.gz,P_566,Segmentation_2ML,ML,Segmentation_3LW,LW,0.647751
9_2021_P_566_T2.nii.gz,P_566,Segmentation_2ML,ML,Segmentation_4SG,SG,0.597381
9_2021_P_566_T2.nii.gz,P_566,Segmentation_2ML,ML,Segmentation_5Stud,Stud,0.681441
9_2021_P_566_T2.nii.gz,P_566,Segmentation_2ML,ML,Segmentation_8MOISSAM2noprop,MOISSAM2noprop,0.624546
9_2021_P_566_T2.nii.gz,P_566,Segmentation_3LW,LW,Segmentation_4SG,SG,0.645875
9_2021_P_566_T2.nii.gz,P_566,Segmentation_3LW,LW,Segmentation_5Stud,Stud,0.690750
9_2021_P_566_T2.nii.gz,P_566,Segmentation_3LW,LW,Segmentation_8MOISSAM2noprop,MOISSAM2noprop,0.594849
9_2021_P_566_T2.nii.gz,P_566,Segmentation_4SG,SG,Segmentation_5Stud,Stud,0.563974
9_2021_P_566_T2.nii.gz,P_566,Segmentation_4SG,SG,Segmentation_8MOISSAM2noprop,MOISSAM2noprop,0.571502
9_2021_P_566_T2.nii.gz,P_566,Segmentation_5Stud,Stud,Segmentation_8MOISSAM2noprop,MOISSAM2noprop,0.620932
