rater_a,rater_a_label,rater_b,rater_b_label,mean_dice_score,num_files
Segmentation_1IR,IR,Segmentation_2ML,ML,0.694085,4
Segmentation_1IR,IR,Segmentation_3LW,LW,0.650203,4
Segmentation_1IR,IR,Segmentation_4SG,SG,0.447774,4
Segmentation_1IR,IR,Segmentation_5Stud,Stud,0.428853,4
Segmentation_1IR,IR,Segmentation_6Stud2,Stud2,0.447949,4
Segmentation_2ML,ML,Segmentation_3LW,LW,0.574797,4
Segmentation_2ML,ML,Segmentation_4SG,SG,0.500234,4
Segmentation_2ML,ML,Segmentation_5Stud,Stud,0.471568,4
Segmentation_2ML,ML,Segmentation_6Stud2,Stud2,0.482644,4
Segmentation_3LW,LW,Segmentation_4SG,SG,0.409287,4
Segmentation_3LW,LW,Segmentation_5Stud,Stud,0.389664,4
Segmentation_3LW,LW,Segmentation_6Stud2,Stud2,0.456768,4
Segmentation_4SG,SG,Segmentation_5Stud,Stud,0.498928,4
Segmentation_4SG,SG,Segmentation_6Stud2,Stud2,0.478634,4
Segmentation_5Stud,Stud,Segmentation_6Stud2,Stud2,0.433404,4
